White,Black
d4, d5
Bf4, Nf6
Nf3, e6
e3, c5
c3, Nc6
Bd3, Be7
O-O, O-O
Nbd2, Bd7
Ne5, Ne5
dxe5, Ne4
Ne4, dxe4
Be4, h6
Qg4, Bg5
Bg3,
