White,Black
e4,e5
Nf3,Nf6
Ne5,Nc6
Nc6,d7c6
Nc3,Bc5
Bc4,Ng4
O-O,Qh4
h2h3,Nf2
Qe2,Nh3
Kh2,Nf2
Kg1,Qh1
