White,Black
d4,d5
c4,c6
Nf3,Nf6
Nc3,e6
e3,Nbd7
Bd3,dxc4
Bxc4,b5
Bd3,Bd6
O-O,O-O
Qc2,Bb7
a3,Rc8
Ng5,c5
Nxh7,Ng4
f4,cxd4
exd4,Bc5
Be2,Nde5
Bxg4,Bxd4+
Kh1,Nxg4
Nxf8,f5
Ng6,Qf6
h3,Qxg6
Qe2,Qh5
Qd3,Be3
