Danish Gambit Variation 3
White,Black
e4,e5
d4,exd4
c3,dxc3
Bc4,cxb2
Bxb2,Qg5
Nf3,Qxg2
Rg1,Qh3
Bxf7+,Kd8
Rxg7,Bxg7
Bxg7,Ne7
Bxh8
